row_id,Hindi,Mundari,Hindi_length,Mundari_length,character_ratio,word_ratio,category,reason
641,वह रोज भगवान के यहाँ जाता और उसकी पत्नी सूनी बुढ़िया घर का काम करती।,"ओड़ोः ओते-दिसुम रअः राज्य चिलका चलौका मेनेअः संगीते, को विचार जद् तैकेना। मिद् दिपली लेवा पांड़ा सिंग बोंगा दोर-बार दुब को सला लिआ। इनिअः कुड़ि सुनी बुढ़िया तैकेना लेवा लेवा जनौ सिंग बोंगा दोर बार बिचारेः सेनोः तैकेना।",68,218,3.2059,2.5333,SEVERE_ANOMALY,Severe long Mundari character ratio (3.21 > 3.0)
811,दामु-उस घर के लिए मुझे पसन्द आ रहा है।,दमु-एन त्र्प्रोड़त्र्प्रःरेड. सुकुतना।,38,38,1.0,0.3333,REVIEW_REQUIRED,Borderline word ratio (0.33)
881,हम दोनों को अर्पण किया गया काली मुर्गियां।,चे’दद्लङअको नेनदे सिमकिङ।,42,25,0.5952,0.375,REVIEW_REQUIRED,Borderline word ratio (0.38)
919,"इसके बाद सुबह होने पर, गाय बैलों को खोला गया और खाने के लिए पुआल दिया जा रहा था।","एनते अङजनचि, उरिःकोको निःजद्कोअ अद् बुसुःकोको ओमअकोतना।",80,55,0.6875,0.3684,REVIEW_REQUIRED,Borderline word ratio (0.37)
960,मैं अचम्भित महसूस कर रही हॅू।’’,अक-दनदागेङ अटकरजदा।’’,31,21,0.6774,0.3333,REVIEW_REQUIRED,Borderline word ratio (0.33)
973,"अगले वर्ष लौटाते समय उसके पास करहनी का धान था जो काला था, उसने उसे ही लौटा दिया।",एन् हुलड. तेगे बब ओमः होक केद।,80,30,0.375,0.3889,REVIEW_REQUIRED,Borderline character ratio (0.38)
1105,"‘‘इसीलिए हम जैसे लोग प्राकृतिक संसाधनों का उपयोग करके मानव निर्मित संसाधन बनाते हैं’’, मोना ने समझाते हुए कहा।",‘‘हे’’ राजू मनातिङ तान लोः बोःए डोबोः केदा।,110,43,0.3909,0.4211,REVIEW_REQUIRED,Borderline character ratio (0.39)
1151,हमलोग एक दूसरे पर नहीं चिल्लायेंगे।,कारेबु सेपेगेद्।,35,16,0.4571,0.3333,REVIEW_REQUIRED,Borderline word ratio (0.33)
1172,"यह अचम्भे वाली बात है !’’ उड़ुगा-‘‘नाता है, लेकिन आपलोग जानते नहीं हैं, हमारे गोव के सूप ओझा और पाहन से पूछो, वे कौन सा नाता तुमको बतायेंगे।’’",चिलकाते इनिःलोः अबुअः नता होबओअ ?,142,33,0.2324,0.2143,SEVERE_ANOMALY,Severe short Mundari character ratio (0.23 < 0.3)
1214,"कोइरी-कुदु बाघ की कहानी में यही बहुत हंसीवाली बात मैंने महसूस की, वहां पर कहा गया एक कुबड़ा तांती, अधिक उम्रदराज के कारण, जानकारी में भी अधिक है ऐसा विश्वास किये गये।",पेंड़ांएं डोनडो मेनते कजिरेगे मेनअः एना काको केआलकेदा।,166,54,0.3253,0.25,REVIEW_REQUIRED,Borderline character ratio (0.33)
1245,"तुमलोग आपस में विचार करो यदि चाह रहे हो तब, बाद में तुमलोग साबूत दो।","बिचारगेपे नमतनरेदो, सबुति ओमअलेपे तयोमते।",68,41,0.6029,0.3333,REVIEW_REQUIRED,Borderline word ratio (0.33)
1346,बिरहोरों को कहते हुए आपने सुना है क्या ?,बिरुड़ुकोपे त्र्प्रयुमत्र्प्रःकद्कोत्र्प्र चि?,40,46,1.15,0.3333,REVIEW_REQUIRED,Borderline word ratio (0.33)
1348,एक दिन रांगरोंग बुढ़िया ने गीत सुनाया था तुम्हारी मां पागल हुई तुम्हारे पिताजी पागल हुए।,मुसिङ मोचाते रांगरोंग बुड़िआएः दुराङा लिःञा,88,43,0.4886,0.375,REVIEW_REQUIRED,Borderline word ratio (0.38)
1360,दुरगा-रूको ! साहेबों के पास में रूपयों को क्या हो रहा है ?,दुरगा-हो! सयोब्को तत्र्प्रःरे टका चेका‘कना?,58,43,0.7414,0.3846,REVIEW_REQUIRED,Borderline word ratio (0.38)
1397,लेकिन इतना रूपा उनलोगों को कहां से मिल रहा है ?,त्र्प्रमिनड. रुपा त्र्प्रोकोरेको नमजदा?,47,39,0.8298,0.3636,REVIEW_REQUIRED,Borderline word ratio (0.36)
1414,"खलिहान पूजा करने के बाद कोई दौनी मिसनी समाप्त कर रहा है, किसी ने बंटवारा किया, किसी का दौनी करने के लिए अधिक भाग बचा हुआ है।","कोलोमसिड. तयोमतेदो ओकोनि‘ एनोःए चबाजदा, ओकोनिः हटिड.बरकेदा, ओकोनिःदो पुरअःतेए सरेअकदा।",124,86,0.6935,0.3704,REVIEW_REQUIRED,Borderline word ratio (0.37)
1448,"उनलोगों को अरूचि हो गया है, मन उब गया है,","मुकुइङजनाको असदिजनाको,",41,22,0.5366,0.2,SEVERE_ANOMALY,Severe word count divergence (0.20)
1451,"पहले थोक व्यापारी बड़ी मात्रा
या संख्या में सामान खरीद लेता है, जैसे – सब्ज़ि यों का थोक व्यापारी
कुछ किलो सब्ज़ी नहीं खरीदता है बल्कि वह बड़ी मात्रा में 25 से
100 किलो तक सब्ज़ियाँ खरीद लेता है। इन्हें वह दूसरे व्यापारियों को
बेचता है।",सिदारे जामतेओमतन बेपारी साङगिते साङगि किरिङलेएअःए बोलकि आएः साङगिते साङगिराः हिसि मोड़ेआते मोड़े हिसा किलो जाकेद इतुएअः किरिङलेएअःए।,236,132,0.5593,0.3913,REVIEW_REQUIRED,Borderline word ratio (0.39)
1507,"इतने मेरे बाल सफेद हो रहे हैं, इतने दिनों में भूख से मरते हुए आदमियों को मैंने अभी तक नहीं देखा है, तुमने बहुतों को मरते हुए को देखा होगा।","नमिनङ पनडुउःतनरेओ रेंगेःते गोएअकनको अउरिङ लेलकोअ, अम असिद् लेलअकद्कोअ।",138,70,0.5072,0.3,REVIEW_REQUIRED,Borderline word ratio (0.30)
1514,"समाचार का विवरण देने में कोई भी उन्हें निर्देशित न करे कि उसमें क्या
सम्मिलित किया जाना है और क्या नहीं।",हेङडे ओकोअः मेसाएअः हेके ओड़ो ओकोअःकोकाः।,104,41,0.3942,0.2857,REVIEW_REQUIRED,Borderline character ratio (0.39)
1579,"बाद में, उस बाघ के चारो पैरों को लाया गया और गुलर के पेड़ के धड़ में टेक लगा के रख दिया गया और वहीं पर सभी बाघ आराम करने लगे।","तयोमतेदो उपुनिअ कटाको अउकेदा अद् लोवा दरुरेको टेनडेर-केदा, अद् एनतअःरेको रुड़नजना।",125,82,0.656,0.3548,REVIEW_REQUIRED,Borderline word ratio (0.35)
1617,तुमसे गलती कैसे ?,चूड़ारानी।,17,10,0.5882,0.25,SEVERE_ANOMALY,Severe word count divergence (0.25)
1626,खाना तैयार हो जाने पर उन्हें खाने के लिए दिया गया।,मनडि उतु तेअरजनचिको ओम:कोअ।,50,27,0.54,0.3636,REVIEW_REQUIRED,Borderline word ratio (0.36)
1707,और फिर तीसरे दिन सारंगी भी उठा ले गया ।,ओड़ोः बनमो बनोआ।,39,16,0.4103,0.3,REVIEW_REQUIRED,Borderline word ratio (0.30)
1770,बैल,उरिः,3,4,1.3333,1.0,SEVERE_ANOMALY,Ultra-short sentence (<4 characters)
1771,इसके बारे में आपलोगों ने देख लिया था।,एनादोपे लेललेद्गेअ।,37,19,0.5135,0.25,SEVERE_ANOMALY,Severe word count divergence (0.25)
1798,मैं नहीं खाउंगी !’’,काइञत्र्प्रःगेत्र्प्र!”,19,23,1.2105,0.25,SEVERE_ANOMALY,Severe word count divergence (0.25)
1839,"उनलोगों के बारे में मैं क्या और तुमलोगों को बताता ! इस बात को छोड़ देने पर ही बनेगा, दूसरे लोगों का हमलोग बातचीत करेंगे।","चेनअःओड़ोःइङ कजिअपेअ!ने कजि हपेतरेगे बइओ,; एटअःकोअःबु जगरअ।",120,59,0.4917,0.28,SEVERE_ANOMALY,Severe word count divergence (0.28)
1869,"तुमलोगों जिस असुरों के बारे में कह रहे हो, वे हमलोगों के कद के बराबर उनके कद होते हैं।","चिलकातेपे मेमेरेदो, निकु अबु इमपिरङगे मेनअःकोअ।",86,47,0.5465,0.3158,REVIEW_REQUIRED,Borderline word ratio (0.32)
1882,"चलिए, अब हमदोनों इतना ही बात करते हैं, मुझको तुरत जाना है, वहां पर बीमार हो रही है, उनको छोड़ के मैं आया हॅू ,मैं आग जलाउंगा और जाकर मुझको ही खाना बनाना पड़ेगा।’’","उड़ुगा, ‘‘गपागेङ बोंगाकिङअ; जा लेकाते हसुतनिः बुगि तबोःका।",162,58,0.358,0.2353,REVIEW_REQUIRED,Borderline character ratio (0.36)
1901,गलती रे तुम मेरी रानी हो।,"चिलका?"" ""गलती?",25,14,0.56,0.3333,REVIEW_REQUIRED,Borderline word ratio (0.33)
2031,इस प्रकार के पत्थर से यह प्रमाणित होता  है कि वह व्यक्ति गाँव से या जाति से बहिश्कृत है। बहिश्कृत व्यक्ति का छाया भी घर में प्रवेष नहीं कराया जाता है।,"गोए: जनरे, एनका छिलनाकनकोअः उम्बूलो का अदेरो: तना।",150,50,0.3333,0.2581,REVIEW_REQUIRED,Borderline character ratio (0.33)
2064,बा तेगे तोपाकना-सखूर की फूलो से ही डालियाँ ढकी हुई है,बा तेगे तोपाकन,53,14,0.2642,0.2727,SEVERE_ANOMALY,Severe short Mundari character ratio (0.26 < 0.3)
2070,कसरा ने उनसे कहा कि आपका भट्टी सब अशुद्धि से खराब हो गया है आप एक आदमी को भट्टी में डालकर पुजा करनें और भट्टी चलाने से भट्टी ठीक हो जाएगा तथा पत्थर गलकर निकलना शुरू हो जायेगा।,"इनिः मेतअद्कोअ, ‘‘अपेअः कुठि गोलमालअकनाः होड़ोपे बोंगालीरे टउकओःअ।",175,66,0.3771,0.2105,REVIEW_REQUIRED,Borderline character ratio (0.38)
2092,"‘‘उन्होंने तुमको पूजा करके मार दिया है’’ कहने पर, वापस ग्रह काटा गया है कहके मालूम पड़ेगा। ‘‘उन्होंने पूजा करके मार दिया है’’ कहके संयोगवश कहा जायेगा ‘‘उन्होंने पूजाकर तुमको मार दिया है’’ कहने के बदले में और ‘‘उन्होंने उनका बलि दिया’’ कहक कहा जाये तब उस आदमी को दूसरों के द्वारा पूजा करने के कारण वह मर गया कहके पता चलेगा।",बोंगागोएःकेदमेअको मेनते सोनजोको सोनजोको कजिओअ बसेंगा गोएःतदमेअको मेनेअः रअः बदिलिरे अद् बोंगा किःअको मेनते कजिजनरेदो एन होडो एटअःको बोंगाकेद रअःतेए गोएःजना मेनते मुनडिओअ।,322,170,0.528,0.371,REVIEW_REQUIRED,Borderline word ratio (0.37)
2101,"बूढ़े के पास दो बैल थे, एक सफेद और एक काला।",इकिर बोंगा कींस जना ओड़ोः एन दंग्रड़ाए हसु रिका किआ मेन्दी दांगड़ा लाई का हसु किआ नेयाते ओड़ोः गेए कीस जना सेन नम किः ते कजिइअ तना ।,43,132,3.0698,2.5455,SEVERE_ANOMALY,Severe long Mundari character ratio (3.07 > 3.0)
2114,इस तरह की बीमारी में धनुष प्रेतात्मा के द्वारा नुकसान पहुंचाने पर ऐसा होता है।,एनकनअःदो अःकुटिबोंगा हतिर-केकोरेको रिकाओअ।,78,42,0.5385,0.2667,SEVERE_ANOMALY,Severe word count divergence (0.27)
2137,लेकिन भात को पसन्द नहीं करने वालों में से केवल बीमार हो रहे लोगों को मैंने देखी है।,मेनदो मनडि का सुकुतनदो हसुतनको बारिङ लेलअकद्कोअ।,83,48,0.5783,0.3889,REVIEW_REQUIRED,Borderline word ratio (0.39)
2179,"एक जगह पर नीलकंठ उड़ते हुए उनलोगों के रास्ते को काटा, बुढ़े लोग एक दूसरे को देख रहें हैं और इशारों इशारों में एक दूसरे को बताया।",एनते परचार त्र्प्रयरकेदा; एन तयोमते दंगड़ाकिड. सेनत्र्प्रकदा; दंगड़ाकिड.त्र्प्र तयोमरे हड़मको।,128,94,0.7344,0.3704,REVIEW_REQUIRED,Borderline word ratio (0.37)
2181,इसके बाद वहां से सियार चला गया।,"तिसिङओइङ सब् इदिओरेदो, अपड़ोब् उदुब्के’ते जनतुरे काइङ हिसाब् रिकाना; एनते मनोअ होनको मेनते जेतन कमिरे काइङ टोगोअ; अइञअः जोमेअः रअः बारिङ उड़ुःअ।’’",31,146,4.7097,3.1429,SEVERE_ANOMALY,Severe long Mundari character ratio (4.71 > 3.0)
2236,ईसाई लोगों के साथ में गिरजा के दिन बातचीत किया हॅू।,किरतानकोलोःदो गिरजा हुलड.इड. जगरबड़‘कना।,51,40,0.7843,0.3636,REVIEW_REQUIRED,Borderline word ratio (0.36)
2263,"सोसो ठापा (एक महत्वपूर्ण पुजा) जिसे सोसो बोंगा भी कहा जाता है, के आंरम्भ में कहा जाता है आसमान में सोने के आसन पर जो बैठा है, नके हाथ में नक्कासीयुक्त सोने की घड़ी है उन्हीं को हम सिडंबोंगा कह रहे हैं।","सोसो टपअः (सोसो बोंगा) एनेटेःरे कजिओःतना; ‘‘सिरमारे सोना सतरनजिरेए दुब्अकना,तीरे टंइड़ि डंडअः इनिःगेबु सिङबोंगा’तना’’।",201,118,0.5871,0.3333,REVIEW_REQUIRED,Borderline word ratio (0.33)
2347,तुमसे शादी करने मैं आया हूँ तुम्हारी  शादी के लिये बारात आई है।,आलां आड़ांदो आलां कोड़ादी,63,25,0.3968,0.3077,REVIEW_REQUIRED,Borderline character ratio (0.40)
2392,"रसोअल-‘‘हमलोग उनके साथ भाई बहन होने के बारे में आपने बताया, लेकिन इस गांव में कुछ कुछ बुढ़े लोग मेरे पिताजी से बहुत बड़े हैं और उनलोगों को मैं ताउ कह रहा हॅू , नचल दह प्रेतात्मा उनलोगों को चाचा कहेगा या ताउ कहेगा ?","उड़ुगा, ‘‘नचल इकिर बोंगा अइङए ककातअइञअ तिसिङगेङ बोंगाकेन दिपिलि; एना मेनते अपे, होनको, इनिःलोःपे बोकोबोयाओअ।’’",214,110,0.514,0.3333,REVIEW_REQUIRED,Borderline word ratio (0.33)
2440,उनदोनों को तो इस बार भी ऐसा ही करेंगे कहा गया।’’,"इनकिड.दो,नेसेकानोबु एनकाएगेत्र्प्रकिड. मेनकेदा।”",48,48,1.0,0.2727,SEVERE_ANOMALY,Severe word count divergence (0.27)
2470,"मेरी तरह बुढ़िया हो जाने के बाद, मेरी तरह तुमलोगों के पोता पोतियों को कहानियों को सुनाया करागी।","अइङ लेकागेपे बुड़िजन चि,अइङ लेकागे जइमतेको का‘निअकोपे।",95,54,0.5684,0.3889,REVIEW_REQUIRED,Borderline word ratio (0.39)
2521,भूमि उपयोग,"ओते को रोकोम कामि मेनते  कामि रे अगुवोः तना, चिलका चि चासा, वानिकी, खदन उर, संउक, ओड़ोः उद्योग बबइ मेनते।",10,105,10.5,10.0,SEVERE_ANOMALY,Severe long Mundari character ratio (10.50 > 3.0)
2548,"रात को तो तुम्बा केल में ठहर गया था, इसके बाद अहले सुबह हाट कर के मैं तुरत इस तरफ आ रहा हॅू।",अयुब् दो तुम्‌बाकेलरेङ तइनजना; एनते इदङरे पीटिकेद्ते रोकागेङ हिजुःतना।,92,70,0.7609,0.3913,REVIEW_REQUIRED,Borderline word ratio (0.39)
2552,लोग देखकर कहते थे।,हिजुः सोनो होड़ो को लेल के कोअ ते नेअ कजि जद केना।,18,50,2.7778,3.0,REVIEW_REQUIRED,Borderline character ratio (2.78)
2591,मानव निर्मित संसाधन,बेरेल-मेड़ेद एन सोमए जकेद संसाधन का तइ केना ओकोन सोमए जकेद होड़ो को एनाते मेड़ेद बइ कको अतु लाः।,19,96,5.0526,6.3333,SEVERE_ANOMALY,Severe long Mundari character ratio (5.05 > 3.0)
2616,"मैं दुनिया भर में फैले हुए भगवान बुद्ध के प्रति श्रद्धा रखने वाले, करुणा के सिद्धांतों में विश्वास करने वाले – सबको बुद्ध पूर्णिमा की मंगलमयी कामना करता हूँ।",तिसिड. जुदि भगवान बुछ के पहम जइ रेदो ।,157,38,0.242,0.3103,SEVERE_ANOMALY,Severe short Mundari character ratio (0.24 < 0.3)
2734,"हर दिन अच्छी तरह से हम दोनों बात कर रहें हैं, अब तो आपस में मनमुटाव हो जायेगा।",जनव बुगिलेकागेलिड. जगरतना; नात्र्प्रः दो बपगड़वोःत्र्प्र।,78,57,0.7308,0.3333,REVIEW_REQUIRED,Borderline word ratio (0.33)
2801,"हमारा तैयार किया हुआ नहीं पीते हैं,यह हमारा दिया स्वीकार करें, ले लें।",ने अइङअः एनेम मनजुरकेमे हुमनिकेमे’’।,70,36,0.5143,0.3846,REVIEW_REQUIRED,Borderline word ratio (0.38)
2894,पतरातु में 4450 एकड़ जमीन दिया।,बेगर ओते-हसान ओड़ोः बेगर ओड़अः-दुअरअन होड़ो को चिलका सरकार डेरा बसाए ओमा कोअः एनाबु नेल लेअः। पतरातु रे 4450 एकड़ ओते एमेर जना।,31,127,4.0968,3.8333,SEVERE_ANOMALY,Severe long Mundari character ratio (4.10 > 3.0)
3024,जमीन कीे ओर झुकते हो     द्व,नोतेगेम तिरुबा।,28,15,0.5357,0.3333,REVIEW_REQUIRED,Borderline word ratio (0.33)
3028,अब साँप आया।,पुरःगेरिपिन्टी जन् चि मरंग चिः उदुब केदा चि बरनकिङ लिङ जोमलः।,12,61,5.0833,3.6667,SEVERE_ANOMALY,Severe long Mundari character ratio (5.08 > 3.0)
3042,"मैं इसी में रूक कर भोर तक रह जाउंगा,सुबह यहां से जाउंगा।’’",नेरेगेङ अङओःका; सेतअःइङ सेना।’’,58,31,0.5345,0.3333,REVIEW_REQUIRED,Borderline word ratio (0.33)
3232,दुनिया ज्ञानी पुरूश यदि किसी मानव जाति के बारे जापकरी चाहते हैं तो सबसे पहे उनकी संस्कृति के बारे में जापकरी चाहते हैं तो सबसे पहले उनकी संस्कृति के बारे जानना चाहे।,"दिसुमरेन सेंड़ान मनोअको, मनोअ जाति पिचा नमतन रे इनकुअः ससंकिरगे को पिचातना।",165,75,0.4545,0.375,REVIEW_REQUIRED,Borderline word ratio (0.38)
3259,इसलिए मैं तुमलोगों के बारे में सोच रही हॅू।,एना मेनतेङ उड़ुःजदपेअ।,43,22,0.5116,0.3333,REVIEW_REQUIRED,Borderline word ratio (0.33)
3275,आगे एक बन्दु लता मिली ।,अयर ते सेनोः तन सेनोः तन मियद् दरु किङ्ग नम केदा। एना रे मियद् बन्दु नड़ि नड़िया कन तैकेना।,23,91,3.9565,3.1667,SEVERE_ANOMALY,Severe long Mundari character ratio (3.96 > 3.0)
3325,नदी उमड़ी हुई थी।,एन दिपलीरे अषढ़ चण्डुः तैकेना एन होन किञ् रई सकमते पोठोम केद् किञ् ते कुइल गड़ा परोमते इदि जद् किञ तैकेना।,17,106,6.2353,5.25,SEVERE_ANOMALY,Severe long Mundari character ratio (6.24 > 3.0)
3327,"रात के समय आंगन में निकलने में आदमी लोग डर रहे थे, हल जोतने के लिए जाने पर बलुआओं को साथ में ले जा रहे थे, गाय बैलों को चराने के लिए बलुआ, कुदाली से खुदाई के समय में भी बलुआओं को साथ में ले जा रहे थे।","निदा दिपिलि रचाते उडुङ मेनते होड़ोको बोरोजदा; सियुःतेओ कपिको इदिजदा; उरिः गुपितेओ कपि, चलुःतेओ कपि।",200,99,0.495,0.3125,REVIEW_REQUIRED,Borderline word ratio (0.31)
3357,"किस चीज से उनदोनों के कानों में छेद हो गया था, मांस को काटकर टुकड़ा करते समय इनपर विचार नहीं किया गया।",चेनत्र्प्रःतेकिड.बुःलेना एनादो गेद् दिपिलि काको बिचारकेदा।,102,58,0.5686,0.2727,SEVERE_ANOMALY,Severe word count divergence (0.27)
3407,"भाषा तो नहीं जानता था सुबह जल्दी उठ करके रेडियो पर रबीन्द्र संगीत सुनने की मेरी आदत हो गई थी और जब आनंदलोके और आगुनेर, पोरोशमोनी- ये कविताएँ सुनने का जब अवसर मिलता था, मन को बड़ी ही चेतना मिलती थी।",अञअः दुलड़ा दिसुम रेन होड़ोको! हुड़िड. दिन रेगे रम जान रअ पवितर चंडुः एटेःओ तना।,197,80,0.4061,0.3659,REVIEW_REQUIRED,Borderline word ratio (0.37)
3419,"सिड.बोंगा चमगादड़ को देखकर उनसे कह रहे थे-‘‘तुम, चमगादड़, सुबह से दिखाई नहीं दे रहे हो और अब तुम्हारे पास जाकर मिलने के बाद ही तुम आये हो।","एनते सिङबोंगा हिजुःलेनचि, सोबेनको तिरुब्केद्तेको जोअरकिःअ।",138,58,0.4203,0.2143,SEVERE_ANOMALY,Severe word count divergence (0.21)
3466,प्रचारक-आप कैसे विचार कर रहे हैं ?,परचार-चिलकम बिचारजदा?,34,21,0.6176,0.2857,SEVERE_ANOMALY,Severe word count divergence (0.29)
3473,मागे,मागे (जारगा),4,12,3.0,2.0,REVIEW_REQUIRED,Borderline character ratio (3.00)
3529,"मैं ने अच्छा वाला मेला तुमलोगों को दी थी, लेकिन तुमलोगों का मन भर गया और मोर पंख की पुही से तुमलोग ठगा गयी।’’","मजा लेकन बुरुइङ ओमलेद्पेअ; मेनदोपे अगरवोनजना, अद् पुइतेपे हिड़िजना।’’",109,69,0.633,0.375,REVIEW_REQUIRED,Borderline word ratio (0.38)
3617,"थोड़ा हिसाब पूछा, क्या हुआ है, तो मैंने छोटे-छोटे जो शहर हैं, वहाँ की थोड़ी जानकारी पाई।","कटिःकन नम लेना,",88,15,0.1705,0.1765,SEVERE_ANOMALY,Severe short Mundari character ratio (0.17 < 0.3)
3647,इसके बाद तड़कन के गांव से दो आदमियों को भेजा गया  और इस बात को उनदोनों ने कोन्ता मुण्डा को बताया।,एना मेनते तिसिङगे ने कजि इनकु तअः इदिओःका।,97,42,0.433,0.381,REVIEW_REQUIRED,Borderline word ratio (0.38)
3762,"दोपहर होने तक में मुण्डा के पास पहुंच गया। दोपहर होने के बाद आदमी जमा हुए और पहले दिन बात किये गये की तरह उनको तलब दिये जाने की बात के बारे में सुनाया गया और वह खुशी से उनके बातों को मान गया और उनलोगों से कहा-‘‘बलुआ बेचने वालों से एक दो पैसा मिलने पर, आपलोग आपत्ति न करें ?’","तिकिनजन चि होड़ोको हुनडिनजना, अद् सिदा हुलङ कजिजन लेका तलब्को पटवकिःअ, अद् सुकुतेए हे’अद्कोअ, अद्ए मेतद्कोअ, ‘‘कपि अकिरिङतनको आते मिद्बर पएसाइङ नमेरे, अलोपे हिसिंगाओअ।’’",274,169,0.6168,0.3934,REVIEW_REQUIRED,Borderline word ratio (0.39)
3813,"गोमके उनलोगों से पूछ रहे थे-‘‘किसने इस तरह किया ऐसा महसूस हो रहा है, सरदार लड़ाई वाले, भगवान लोग या मानव तस्करों ने ?’’","गोमके कुलिजद्कोअ, ‘‘ओकोको नेकाकेद्लेका अटकरोःतना,सरदार लड़इको, भगोअनको,चि अरकटिको ?’’",119,85,0.7143,0.375,REVIEW_REQUIRED,Borderline word ratio (0.38)
3826,अब हम लोगों को सो जाना चाहिए।,नाअःदोबु दुड़ुमा।,29,17,0.5862,0.2857,SEVERE_ANOMALY,Severe word count divergence (0.29)
3925,शरत चन्द्र रय ने ‘मुंडाज एंड देयर कान्ट्री’ में पृष्ट 36 में लिखा है-,सकम 36 रे ओलाकदा -,69,18,0.2609,0.3571,SEVERE_ANOMALY,Severe short Mundari character ratio (0.26 < 0.3)
3966,किस तरह से दोनों बड़े भाई और छोटे भाई में कुश्ती की लड़ाई हुई थी ?,चिलकोते बोकोबोयाकिङ ओपोताकेना?,66,30,0.4545,0.1875,SEVERE_ANOMALY,Severe word count divergence (0.19)
3967,क्या मैं तुम दोनों को रोज देता हूँ?,जनवचिङ ओमअबेनतना ?,35,18,0.5143,0.375,REVIEW_REQUIRED,Borderline word ratio (0.38)
3977,"सवंसार से ही ईसाई हो रहें हैं, कोई भी आदमी ईसाई होकर जन्म नहीं ले रहा है।",जेता होड़ो किरतानत्र्प्रकन- तेदो काए जानोमोःतना।,73,48,0.6575,0.3529,REVIEW_REQUIRED,Borderline word ratio (0.35)
4020,इसके बारे में आप हमलोगोंको बताईये।,एन जगरअलेम।,34,11,0.3235,0.3333,REVIEW_REQUIRED,Borderline character ratio (0.32)
4038,इस प्रकार जल का अभाव मौसमी अथवा वार्षिक वर्षण में विविधता के परिणामस्वरूप हो सकता है अथवा अति उपयोग और जल स्त्रोतों के संदूषन के कारण भी जल का अभाव हो सकता है।,"मिस्टेस कजि केदा, ‘‘ हे, निया जिंड़ि ते बइया कना।’’",159,51,0.3208,0.303,REVIEW_REQUIRED,Borderline character ratio (0.32)
